id	color
24017	#ffffb3
24019	#fccde5
24021	#fdb462
24023	#fdb462
24025	#ffffb3
24027	#fdb462
24029	#fccde5
24031	#ffffb3
24033	#bc80bd
24035	#fccde5
24037	#bc80bd
24039	#fccde5
24041	#fccde5
24043	#fdb462
24045	#fccde5
24047	#fccde5
25001	#fb8072
25003	#fdb462
25005	#b3de69
25007	#bc80bd
25009	#bc80bd
25011	#fdb462
25013	#bc80bd
25015	#bc80bd
25017	#bc80bd
25019	#000000
25021	#b3de69
25023	#fb8072
25025	#000000
25027	#b3de69
26001	#fdb462
26003	#fdb462
26005	#80b1d3
26007	#fdb462
26009	#fb8072
26011	#fdb462
26013	#8dd3c7
26015	#fdb462
26017	#ffffb3
26019	#fb8072
26021	#fb8072
26023	#ffffb3
26025	#ffffb3
26027	#80b1d3
26029	#fb8072
26031	#fdb462
26033	#fdb462
26035	#fdb462
26037	#fdb462
26039	#fccde5
26041	#fdb462
26043	#fdb462
26045	#ffffb3
26047	#fdb462
26049	#ffffb3
26051	#fdb462
26053	#8dd3c7
26055	#fb8072
26057	#fdb462
26059	#fdb462
26061	#fdb462
26063	#fdb462
26065	#fdb462
26067	#fdb462
26069	#fdb462
26071	#bc80bd
26073	#fdb462
26075	#ffffb3
26077	#ffffb3
26079	#bc80bd
26081	#fdb462
26083	#000000
26085	#fdb462
26087	#fdb462
26089	#fb8072
26091	#ffffb3
26093	#fdb462
26095	#8dd3c7
26097	#fdb462
26099	#bc80bd
26101	#fb8072
26103	#fdb462
26105	#fdb462
26107	#80b1d3
26109	#fdb462
26111	#ffffb3
26113	#fdb462
26115	#ffffb3
26117	#bc80bd
26119	#fdb462
26121	#fdb462
26123	#fdb462
26125	#fb8072
26127	#fb8072
26129	#fdb462
26131	#8dd3c7
26133	#fdb462
26135	#fdb462
26137	#bc80bd
26139	#fccde5
26141	#fdb462
26143	#8dd3c7
26145	#ffffb3
26147	#d9d9d9
26149	#ffffb3
26151	#fdb462
26153	#fdb462
26155	#fdb462
26157	#ffffb3
26159	#fb8072
26161	#ffffb3
26163	#bc80bd
26165	#8dd3c7
27001	#8dd3c7
27003	#ffffb3
27005	#fccde5
27007	#8dd3c7
27009	#fdb462
27011	#ffffb3
27013	#80b1d3
27015	#ffffb3
27017	#fdb462
27019	#fdb462
27021	#8dd3c7
27023	#ffffb3
27025	#ffffb3
27027	#d9d9d9
27029	#8dd3c7
27031	#000000
27033	#ffffb3
27035	#8dd3c7
27037	#8dd3c7
27039	#ffffb3
27041	#fdb462
27043	#ffffb3
27045	#ffffb3
27047	#ffffb3
27049	#ffffb3
27051	#ffffb3
27053	#ffffb3
27055	#fdb462
27057	#ffffb3
27059	#ffffb3
27061	#8dd3c7
27063	#ffffb3
27065	#8dd3c7
27067	#fccde5
27069	#ccebc5
27071	#8dd3c7
27073	#ffffb3
27075	#fb8072
27077	#ccebc5
27079	#ffffb3
27081	#ffffb3
27083	#8dd3c7
27085	#ffffb3
27087	#ffffb3
27089	#ccebc5
27091	#80b1d3
27093	#fccde5
27095	#fdb462
27097	#fccde5
27099	#ffffb3
27101	#ffffb3
27103	#80b1d3
27105	#80b1d3
27107	#d9d9d9
27109	#ffffb3
27111	#fdb462
27113	#ccebc5
27115	#ffffb3
27117	#80b1d3
27119	#ccebc5
27121	#ffffb3
27123	#bc80bd
27125	#ccebc5
27127	#ffffb3
27129	#ffffb3
27131	#ffffb3
27133	#80b1d3
27135	#ccebc5
27137	#fdb462
27139	#fdb462
27141	#bc80bd
27143	#ffffb3
27145	#fdb462
27147	#ffffb3
27149	#ffffb3
27151	#ffffb3
27153	#fdb462
27155	#ffffb3
27157	#fdb462
27159	#fdb462
27161	#80b1d3
27163	#ffffb3
27165	#ffffb3
27167	#d9d9d9
27169	#fdb462
27171	#fdb462
27173	#ffffb3
28001	#d9d9d9
28003	#ffffb3
28005	#fccde5
28007	#fdb462
28009	#8dd3c7
28011	#d9d9d9
28013	#bc80bd
28015	#bebada
28017	#80b1d3
28019	#80b1d3
28021	#8dd3c7
28023	#fccde5
28025	#fb8072
28027	#bebada
28029	#fccde5
28031	#fccde5
28033	#d9d9d9
28035	#fccde5
28037	#fccde5
28039	#b3de69
28041	#fccde5
28043	#bebada
28045	#fdb462
28047	#8dd3c7
28049	#ffffb3
28051	#ffffb3
28053	#bebada
28055	#ffffb3
28057	#fccde5
28059	#8dd3c7
28061	#fccde5
28063	#fccde5
28065	#fccde5
28067	#fccde5
28069	#8dd3c7
28071	#bebada
28073	#fccde5
28075	#8dd3c7
28077	#fccde5
28079	#fccde5
28081	#d9d9d9
28083	#ffffb3
28085	#fccde5
28087	#ffffb3
28089	#ffffb3
28091	#fccde5
28093	#8dd3c7
28095	#ffffb3
28097	#bebada
